F,d,mse,psnr,compression_ratio
8,2,6667.8075,9.890973076385395,0.046875
8,5,1357.905,16.8021097341162,0.234375
8,8,219.395,24.718536350638267,0.5625
8,14,1.4775,46.43552871314618,0.984375
16,4,6532.251875,9.980174386591164,0.0390625
16,10,1569.595,16.17292754290159,0.21484375
16,20,51.95125,30.974843592813293,0.7421875
16,30,0.19875,55.14773223539402,0.99609375
32,8,5856.774169921875,10.454218823833365,0.03515625
32,20,1581.031005859375,16.14139973831594,0.205078125
32,40,49.479248046875,31.18657269983065,0.73046875
32,60,0.041015625,62.00131027109822,0.994140625
